premise,choice1,choice2,question,difficulty,answer,label,split,input,output,task,option1,option2,output_text,output_label,preds,choice,is_correct
Activists boycotted the products.,The products were tested for quality assurance.,The products were manufactured through child labor.,cause,hard,2,1,test,question: activists boycotted the products. what is the most plausible cause? options: a) the products were tested for quality assurance b) the products were manufactured through child labor,the products were manufactured through child labor,copa,the products were tested for quality assurance,the products were manufactured through child labor,b) the products were manufactured through child labor,b,b) the products were manufactured through child labor,b,1
I drilled a hole in the wall.,A mouse crawled out of the hole.,Dust blew out of the hole.,effect,easy,2,1,test,question: i drilled a hole in the wall. what is the most plausible effect? options: a) a mouse crawled out of the hole b) dust blew out of the hole,dust blew out of the hole,copa,a mouse crawled out of the hole,dust blew out of the hole,b) dust blew out of the hole,b,b) dust blew out of the hole,b,1
The woman felt envious of her sister.,Her sister was happy.,Her sister got divorced.,cause,hard,1,0,test,question: the woman felt envious of her sister. what is the most plausible cause? options: a) her sister was happy b) her sister got divorced,her sister was happy,copa,her sister was happy,her sister got divorced,a) her sister was happy,a,b) her sister got divorced,b,0
I spilled wine on my shirt.,I put on an apron.,I changed my shirt.,effect,hard,2,1,test,question: i spilled wine on my shirt. what is the most plausible effect? options: a) i put on an apron b) i changed my shirt,i changed my shirt,copa,i put on an apron,i changed my shirt,b) i changed my shirt,b,b) i changed my shirt,b,1
The cashier opened the cash register.,The customer searched his wallet.,The customer handed her money.,cause,easy,2,1,test,question: the cashier opened the cash register. what is the most plausible cause? options: a) the customer searched his wallet b) the customer handed her money,the customer handed her money,copa,the customer searched his wallet,the customer handed her money,b) the customer handed her money,b,b) the customer handed her money,b,1
The street musician attracted a crowd.,People gave him change.,He sent the crowd away.,effect,hard,1,0,test,question: the street musician attracted a crowd. what is the most plausible effect? options: a) people gave him change b) he sent the crowd away,people gave him change,copa,people gave him change,he sent the crowd away,a) people gave him change,a,a) people gave him change,a,1
The little boy cried to his babysitter.,He missed his parents.,It was snack time.,cause,hard,1,0,test,question: the little boy cried to his babysitter. what is the most plausible cause? options: a) he missed his parents b) it was snack time,he missed his parents,copa,he missed his parents,it was snack time,a) he missed his parents,a,a) he missed his parents,a,1
The pilot's radar detected a storm.,The pilot navigated away from the storm.,The pilot flew through the storm.,effect,hard,1,0,test,question: the pilot's radar detected a storm. what is the most plausible effect? options: a) the pilot navigated away from the storm b) the pilot flew through the storm,the pilot navigated away from the storm,copa,the pilot navigated away from the storm,the pilot flew through the storm,a) the pilot navigated away from the storm,a,b) the pilot flew through the storm,b,0
The tree shed its leaves.,The leaves turned colors.,The leaves accumulated on the ground.,effect,hard,2,1,test,question: the tree shed its leaves. what is the most plausible effect? options: a) the leaves turned colors b) the leaves accumulated on the ground,the leaves accumulated on the ground,copa,the leaves turned colors,the leaves accumulated on the ground,b) the leaves accumulated on the ground,b,b) the leaves accumulated on the ground,b,1
The boy was in a mischievous mood.,He decided to play a card game with his sister.,He decided to play a practical joke on his sister.,effect,easy,2,1,test,question: the boy was in a mischievous mood. what is the most plausible effect? options: a) he decided to play a card game with his sister b) he decided to play a practical joke on his sister,he decided to play a practical joke on his sister,copa,he decided to play a card game with his sister,he decided to play a practical joke on his sister,b) he decided to play a practical joke on his sister,b,b) he decided to play a practical joke on his sister,b,1
The child complained that he had to go to the bathroom.,His father gave him a soda to drink.,His father stopped the car at a gas station.,effect,hard,2,1,test,question: the child complained that he had to go to the bathroom. what is the most plausible effect? options: a) his father gave him a soda to drink b) his father stopped the car at a gas station,his father stopped the car at a gas station,copa,his father gave him a soda to drink,his father stopped the car at a gas station,b) his father stopped the car at a gas station,b,a) his father gave him a soda to drink,a,0
The child sprinkled fish food into the tank.,The fish leapt out of the tank.,The fish swam towards the food.,effect,easy,2,1,test,question: the child sprinkled fish food into the tank. what is the most plausible effect? options: a) the fish leapt out of the tank b) the fish swam towards the food,the fish swam towards the food,copa,the fish leapt out of the tank,the fish swam towards the food,b) the fish swam towards the food,b,b) the fish swam towards the food,b,1
The woman's political views changed.,She switched her party affiliation.,She engaged in a protest.,effect,hard,1,0,test,question: the woman's political views changed. what is the most plausible effect? options: a) she switched her party affiliation b) she engaged in a protest,she switched her party affiliation,copa,she switched her party affiliation,she engaged in a protest,a) she switched her party affiliation,a,a) she switched her party affiliation,a,1
The bathroom sink was clogged.,I turned on the faucet.,I poured drain cleaner into it.,effect,hard,2,1,test,question: the bathroom sink was clogged. what is the most plausible effect? options: a) i turned on the faucet b) i poured drain cleaner into it,i poured drain cleaner into it,copa,i turned on the faucet,i poured drain cleaner into it,b) i poured drain cleaner into it,b,b) i poured drain cleaner into it,b,1
The passengers got off the train.,The train arrived at the station.,The train blared its whistle.,cause,hard,1,0,test,question: the passengers got off the train. what is the most plausible cause? options: a) the train arrived at the station b) the train blared its whistle,the train arrived at the station,copa,the train arrived at the station,the train blared its whistle,a) the train arrived at the station,a,a) the train arrived at the station,a,1
The man pressed down on the moist flap of the envelope.,He put a stamp on the envelope.,He sealed the envelope shut.,effect,hard,2,1,test,question: the man pressed down on the moist flap of the envelope. what is the most plausible effect? options: a) he put a stamp on the envelope b) he sealed the envelope shut,he sealed the envelope shut,copa,he put a stamp on the envelope,he sealed the envelope shut,b) he sealed the envelope shut,b,b) he sealed the envelope shut,b,1
The friends lost touch.,They enjoyed each other's company.,They moved to different cities.,cause,hard,2,1,test,question: the friends lost touch. what is the most plausible cause? options: a) they enjoyed each others company b) they moved to different cities,they moved to different cities,copa,they enjoyed each others company,they moved to different cities,b) they moved to different cities,b,b) they moved to different cities,b,1
The accountant mismanaged the company's funds.,She was fired from her position.,She went on maternity leave.,effect,hard,1,0,test,question: the accountant mismanaged the company's funds. what is the most plausible effect? options: a) she was fired from her position b) she went on maternity leave,she was fired from her position,copa,she was fired from her position,she went on maternity leave,a) she was fired from her position,a,a) she was fired from her position,a,1
I looked at the clock.,I heard the clock tick.,I wanted to check the time.,cause,hard,2,1,test,question: i looked at the clock. what is the most plausible cause? options: a) i heard the clock tick b) i wanted to check the time,i wanted to check the time,copa,i heard the clock tick,i wanted to check the time,b) i wanted to check the time,b,a) i heard the clock tick,a,0
My hand cramped up.,I wrote the essay by hand.,My wife and I held hands.,cause,hard,1,0,test,question: my hand cramped up. what is the most plausible cause? options: a) i wrote the essay by hand b) my wife and i held hands,i wrote the essay by hand,copa,i wrote the essay by hand,my wife and i held hands,a) i wrote the essay by hand,a,a) i wrote the essay by hand,a,1
The bolt tightened.,I replaced the bolt.,I twisted the wrench.,cause,hard,2,1,test,question: the bolt tightened. what is the most plausible cause? options: a) i replaced the bolt b) i twisted the wrench,i twisted the wrench,copa,i replaced the bolt,i twisted the wrench,b) i twisted the wrench,b,a) i replaced the bolt,a,0
The couple signed a lease for an apartment.,The couple moved into the apartment.,The city condemned the apartment.,effect,hard,1,0,test,question: the couple signed a lease for an apartment. what is the most plausible effect? options: a) the couple moved into the apartment b) the city condemned the apartment,the couple moved into the apartment,copa,the couple moved into the apartment,the city condemned the apartment,a) the couple moved into the apartment,a,a) the couple moved into the apartment,a,1
The woman sat outside on the porch.,She wanted to watch the sunset.,She thought she saw lightning.,cause,hard,1,0,test,question: the woman sat outside on the porch. what is the most plausible cause? options: a) she wanted to watch the sunset b) she thought she saw lightning,she wanted to watch the sunset,copa,she wanted to watch the sunset,she thought she saw lightning,a) she wanted to watch the sunset,a,a) she wanted to watch the sunset,a,1
The man wore a lifejacket in the water.,He couldn't swim.,The water was shallow.,cause,hard,1,0,test,question: the man wore a lifejacket in the water. what is the most plausible cause? options: a) he couldnt swim b) the water was shallow,he couldnt swim,copa,he couldnt swim,the water was shallow,a) he couldnt swim,a,b) the water was shallow,b,0
The woman made a typo in the word processor.,She deleted the document.,She hit the backspace key.,effect,easy,2,1,test,question: the woman made a typo in the word processor. what is the most plausible effect? options: a) she deleted the document b) she hit the backspace key,she hit the backspace key,copa,she deleted the document,she hit the backspace key,b) she hit the backspace key,b,b) she hit the backspace key,b,1
The girl bragged to her friends.,She got a bad grade.,She won a contest.,cause,hard,2,1,test,question: the girl bragged to her friends. what is the most plausible cause? options: a) she got a bad grade b) she won a contest,she won a contest,copa,she got a bad grade,she won a contest,b) she won a contest,b,b) she won a contest,b,1
The lawn was muddy.,It poured overnight.,It was full of weeds.,cause,easy,1,0,test,question: the lawn was muddy. what is the most plausible cause? options: a) it poured overnight b) it was full of weeds,it poured overnight,copa,it poured overnight,it was full of weeds,a) it poured overnight,a,b) it was full of weeds,b,0
The woman overslept.,She stayed the night in a hotel.,She forgot to set her alarm clock.,cause,hard,2,1,test,question: the woman overslept. what is the most plausible cause? options: a) she stayed the night in a hotel b) she forgot to set her alarm clock,she forgot to set her alarm clock,copa,she stayed the night in a hotel,she forgot to set her alarm clock,b) she forgot to set her alarm clock,b,b) she forgot to set her alarm clock,b,1
The man put on sunscreen.,He sat in the shade.,He went to the beach.,cause,easy,2,1,test,question: the man put on sunscreen. what is the most plausible cause? options: a) he sat in the shade b) he went to the beach,he went to the beach,copa,he sat in the shade,he went to the beach,b) he went to the beach,b,b) he went to the beach,b,1
The researchers proved the theory.,The researchers retracted the theory.,Individuals accepted the theory.,effect,hard,2,1,test,question: the researchers proved the theory. what is the most plausible effect? options: a) the researchers retracted the theory b) individuals accepted the theory,individuals accepted the theory,copa,the researchers retracted the theory,individuals accepted the theory,b) individuals accepted the theory,b,b) individuals accepted the theory,b,1
The fans at the game booed.,The game went into overtime.,The referee made a bad call.,cause,easy,2,1,test,question: the fans at the game booed. what is the most plausible cause? options: a) the game went into overtime b) the referee made a bad call,the referee made a bad call,copa,the game went into overtime,the referee made a bad call,b) the referee made a bad call,b,b) the referee made a bad call,b,1
I entered my combination on the lock.,I shut the lock.,The lock popped open.,effect,hard,2,1,test,question: i entered my combination on the lock. what is the most plausible effect? options: a) i shut the lock b) the lock popped open,the lock popped open,copa,i shut the lock,the lock popped open,b) the lock popped open,b,b) the lock popped open,b,1
The crowd intensified.,The father handed his son some money.,The father grabbed his son's hand.,effect,easy,2,1,test,question: the crowd intensified. what is the most plausible effect? options: a) the father handed his son some money b) the father grabbed his sons hand,the father grabbed his sons hand,copa,the father handed his son some money,the father grabbed his sons hand,b) the father grabbed his sons hand,b,b) the father grabbed his sons hand,b,1
The snow was blocking the driveway.,I gathered the snow into a snowball.,I shoveled the snow out of the way.,effect,hard,2,1,test,question: the snow was blocking the driveway. what is the most plausible effect? options: a) i gathered the snow into a snowball b) i shoveled the snow out of the way,i shoveled the snow out of the way,copa,i gathered the snow into a snowball,i shoveled the snow out of the way,b) i shoveled the snow out of the way,b,b) i shoveled the snow out of the way,b,1
The kayakers paddled their oars.,The kayak reached the shore.,The kayak hit a wave.,effect,hard,1,0,test,question: the kayakers paddled their oars. what is the most plausible effect? options: a) the kayak reached the shore b) the kayak hit a wave,the kayak reached the shore,copa,the kayak reached the shore,the kayak hit a wave,a) the kayak reached the shore,a,b) the kayak hit a wave,b,0
The girl lost control of her bike.,She let go of the handlebars.,She crashed into a fence.,effect,easy,2,1,test,question: the girl lost control of her bike. what is the most plausible effect? options: a) she let go of the handlebars b) she crashed into a fence,she crashed into a fence,copa,she let go of the handlebars,she crashed into a fence,b) she crashed into a fence,b,a) she let go of the handlebars,a,0
I turned on the fan.,Water sprinkled onto my skin.,I felt cool air pass over me.,effect,hard,2,1,test,question: i turned on the fan. what is the most plausible effect? options: a) water sprinkled onto my skin b) i felt cool air pass over me,i felt cool air pass over me,copa,water sprinkled onto my skin,i felt cool air pass over me,b) i felt cool air pass over me,b,b) i felt cool air pass over me,b,1
The surfers returned to the beach.,They were drenched.,They saw a shark.,cause,easy,2,1,test,question: the surfers returned to the beach. what is the most plausible cause? options: a) they were drenched b) they saw a shark,they saw a shark,copa,they were drenched,they saw a shark,b) they saw a shark,b,b) they saw a shark,b,1
I pulled the drain plug in the bathtub.,The water drained out of the tub.,The water splashed onto the floor.,effect,hard,1,0,test,question: i pulled the drain plug in the bathtub. what is the most plausible effect? options: a) the water drained out of the tub b) the water splashed onto the floor,the water drained out of the tub,copa,the water drained out of the tub,the water splashed onto the floor,a) the water drained out of the tub,a,a) the water drained out of the tub,a,1
The husband felt guilty about cheating on his wife.,He accused her of infidelity.,He confessed his infidelity to her.,effect,hard,2,1,test,question: the husband felt guilty about cheating on his wife. what is the most plausible effect? options: a) he accused her of infidelity b) he confessed his infidelity to her,he confessed his infidelity to her,copa,he accused her of infidelity,he confessed his infidelity to her,b) he confessed his infidelity to her,b,b) he confessed his infidelity to her,b,1
The ink on the poster smeared.,I waited for the ink to dry.,I spilled water on the poster.,cause,easy,2,1,test,question: the ink on the poster smeared. what is the most plausible cause? options: a) i waited for the ink to dry b) i spilled water on the poster,i spilled water on the poster,copa,i waited for the ink to dry,i spilled water on the poster,b) i spilled water on the poster,b,a) i waited for the ink to dry,a,0
The child woke up screaming.,He had a nightmare.,He wet the bed.,cause,easy,1,0,test,question: the child woke up screaming. what is the most plausible cause? options: a) he had a nightmare b) he wet the bed,he had a nightmare,copa,he had a nightmare,he wet the bed,a) he had a nightmare,a,a) he had a nightmare,a,1
The boy put his feet up on the table.,His father sat down at the table.,His father lectured him.,effect,hard,2,1,test,question: the boy put his feet up on the table. what is the most plausible effect? options: a) his father sat down at the table b) his father lectured him,his father lectured him,copa,his father sat down at the table,his father lectured him,b) his father lectured him,b,a) his father sat down at the table,a,0
My friend turned his head in my direction.,I shouted his name.,I waved my arms.,cause,easy,1,0,test,question: my friend turned his head in my direction. what is the most plausible cause? options: a) i shouted his name b) i waved my arms,i shouted his name,copa,i shouted his name,i waved my arms,a) i shouted his name,a,a) i shouted his name,a,1
The government oppressed its citizens.,The citizens staged a revolt.,The citizens registered to vote.,effect,hard,1,0,test,question: the government oppressed its citizens. what is the most plausible effect? options: a) the citizens staged a revolt b) the citizens registered to vote,the citizens staged a revolt,copa,the citizens staged a revolt,the citizens registered to vote,a) the citizens staged a revolt,a,a) the citizens staged a revolt,a,1
The boy was lost in the woods.,He pitched a tent.,He screamed for help.,effect,easy,2,1,test,question: the boy was lost in the woods. what is the most plausible effect? options: a) he pitched a tent b) he screamed for help,he screamed for help,copa,he pitched a tent,he screamed for help,b) he screamed for help,b,b) he screamed for help,b,1
The woman travelled abroad.,She wanted to learn how to draw.,She wanted to learn about other cultures.,cause,hard,2,1,test,question: the woman travelled abroad. what is the most plausible cause? options: a) she wanted to learn how to draw b) she wanted to learn about other cultures,she wanted to learn about other cultures,copa,she wanted to learn how to draw,she wanted to learn about other cultures,b) she wanted to learn about other cultures,b,b) she wanted to learn about other cultures,b,1
